iter	Passed	Remaining
0	31	31278
1	62	31239
2	91	30499
3	126	31447
4	163	32482
5	196	32558
6	230	32759
7	266	33073
8	300	33085
9	334	33157
10	369	33210
11	402	33100
12	436	33162
13	470	33136
14	507	33304
15	540	33211
16	574	33237
17	609	33255
18	644	33296
19	678	33242
20	714	33286
21	749	33305
22	773	32860
23	808	32874
24	843	32879
25	883	33084
26	922	33231
27	958	33260
28	994	33296
29	1013	32781
30	1027	32130
31	1062	32130
32	1096	32137
33	1132	32164
34	1145	31591
35	1179	31583
36	1213	31587
37	1237	31336
38	1270	31314
39	1305	31338
40	1330	31113
41	1364	31119
42	1398	31134
43	1434	31162
44	1468	31165
45	1507	31257
46	1545	31339
47	1581	31358
48	1617	31385
49	1655	31445
50	1690	31448
51	1725	31454
52	1760	31459
53	1795	31450
54	1835	31533
55	1869	31522
56	1904	31514
57	1934	31423
58	1967	31378
59	2002	31370
60	2037	31371
61	2051	31032
62	2089	31070
63	2125	31084
64	2163	31121
65	2196	31088
66	2231	31078
67	2266	31061
68	2302	31073
69	2343	31130
70	2378	31125
71	2404	30985
72	2439	30972
73	2452	30684
74	2465	30404
75	2499	30390
76	2534	30377
77	2566	30340
78	2600	30316
79	2633	30283
80	2651	30079
81	2683	30044
82	2714	29993
83	2743	29921
84	2778	29910
85	2812	29889
86	2845	29859
87	2880	29857
88	2913	29824
89	2946	29796
90	2981	29779
91	3016	29766
92	3043	29683
93	3076	29655
94	3109	29619
95	3143	29597
96	3155	29376
97	3187	29340
98	3218	29295
99	3251	29267
100	3284	29230
101	3318	29211
102	3336	29059
103	3371	29047
104	3404	29020
105	3437	28995
106	3469	28956
107	3504	28947
108	3537	28918
109	3572	28906
110	3606	28884
111	3641	28875
112	3673	28839
113	3706	28804
114	3740	28786
115	3775	28768
116	3807	28738
117	3826	28599
118	3858	28564
119	3889	28525
120	3924	28509
121	3959	28497
122	3995	28487
123	4028	28459
124	4062	28439
125	4094	28404
126	4126	28363
127	4150	28278
128	4174	28185
129	4207	28159
130	4240	28127
131	4273	28102
132	4308	28085
133	4327	27968
134	4362	27954
135	4380	27830
136	4412	27797
137	4444	27764
138	4479	27746
139	4515	27738
140	4547	27706
141	4580	27677
142	4614	27652
143	4646	27619
144	4680	27598
145	4713	27570
146	4749	27558
147	4782	27529
148	4817	27515
149	4850	27486
150	4883	27459
151	4917	27434
152	4951	27412
153	4982	27372
154	5016	27349
155	5050	27325
156	5084	27298
157	5119	27280
158	5152	27253
159	5185	27224
160	5218	27192
161	5251	27164
162	5284	27134
163	5318	27112
164	5351	27080
165	5384	27051
166	5416	27015
167	5449	26986
168	5484	26967
169	5511	26907
170	5546	26888
171	5582	26873
172	5618	26857
173	5653	26837
174	5685	26801
175	5719	26776
176	5753	26751
177	5787	26728
178	5822	26705
179	5854	26670
180	5888	26645
181	5922	26618
182	5959	26606
183	5992	26575
184	6016	26505
185	6050	26477
186	6082	26445
187	6117	26423
188	6155	26413
189	6191	26396
190	6227	26378
191	6264	26365
192	6302	26352
193	6342	26350
194	6379	26336
195	6419	26332
196	6453	26303
197	6486	26271
198	6519	26241
199	6560	26240
200	6595	26219
201	6631	26198
202	6665	26170
203	6701	26148
204	6734	26118
205	6768	26087
206	6802	26058
207	6836	26030
208	6870	26003
209	6905	25976
210	6940	25951
211	6975	25926
212	7009	25899
213	7045	25875
214	7077	25842
215	7114	25823
216	7158	25829
217	7200	25827
218	7235	25803
219	7270	25776
220	7304	25745
221	7339	25722
222	7377	25705
223	7413	25684
224	7456	25682
225	7490	25652
226	7523	25618
227	7558	25592
228	7593	25566
229	7627	25534
230	7661	25506
231	7696	25476
232	7731	25450
233	7764	25418
234	7799	25389
235	7833	25358
236	7867	25329
237	7902	25301
238	7936	25269
239	7970	25240
240	8005	25210
241	8039	25183
242	8074	25154
243	8108	25123
244	8141	25090
245	8176	25061
246	8210	25031
247	8244	24999
248	8280	24974
249	8314	24942
250	8349	24914
251	8383	24884
252	8418	24854
253	8493	24946
254	8532	24928
255	8568	24901
256	8603	24873
257	8640	24850
258	8673	24815
259	8708	24785
260	8743	24757
261	8776	24722
262	8811	24692
263	8845	24660
264	8878	24625
265	8913	24595
266	8947	24562
267	8981	24531
268	9016	24501
269	9051	24471
270	9084	24437
271	9116	24400
272	9151	24371
273	9186	24340
274	9219	24306
275	9252	24271
276	9286	24239
277	9320	24205
278	9354	24173
279	9391	24150
280	9426	24119
281	9461	24089
282	9495	24056
283	9531	24029
284	9565	23997
285	9602	23972
286	9638	23945
287	9670	23907
